Channel Id,Channel Url,Channel Title
UC8QdAOlC6klCL6HIfI-VGjw,http://www.youtube.com/channel/UC8QdAOlC6klCL6HIfI-VGjw,The Cooler Jenny
UC8Ubtzq6EXH8CPA9v7-1pmA,http://www.youtube.com/channel/UC8Ubtzq6EXH8CPA9v7-1pmA,gone for good
UC8h8NJG9gacZ5lAJJvhD0fQ,http://www.youtube.com/channel/UC8h8NJG9gacZ5lAJJvhD0fQ,NardwuarServiette
UC8l1OH0DOYARGUTrqAcWW2w,http://www.youtube.com/channel/UC8l1OH0DOYARGUTrqAcWW2w,Carlos Maza
UC9-y-6csu5WGm29I7JiwpnA,http://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile
UC9FN0dIQ01weg4Lm2UNP6Gw,http://www.youtube.com/channel/UC9FN0dIQ01weg4Lm2UNP6Gw,Earth's Special Forces
UC9Lp_AA5M2cMGrlvnnIns-g,http://www.youtube.com/channel/UC9Lp_AA5M2cMGrlvnnIns-g,Bizarre Beasts
UC9PBzalIcEQCsiIkq36PyUA,http://www.youtube.com/channel/UC9PBzalIcEQCsiIkq36PyUA,Digital Foundry
UC9PIn6-XuRKZ5HmYeu46AIw,http://www.youtube.com/channel/UC9PIn6-XuRKZ5HmYeu46AIw,Barely Sociable
UC9RM-iSvTu1uPJb8X5yp3EQ,http://www.youtube.com/channel/UC9RM-iSvTu1uPJb8X5yp3EQ,Wendover Productions
UC9TSv3wIuBWxhmTCGIEwu8g,http://www.youtube.com/channel/UC9TSv3wIuBWxhmTCGIEwu8g,Pasta Cats
UC9WjW6wtbfMS4UX2v_UZEZw,http://www.youtube.com/channel/UC9WjW6wtbfMS4UX2v_UZEZw,Stay Inside
UC9infsKo33_2LUoiqXGgQWg,http://www.youtube.com/channel/UC9infsKo33_2LUoiqXGgQWg,Renegade Cut
UC9yt3wz-6j19RwD5m5f6HSg,http://www.youtube.com/channel/UC9yt3wz-6j19RwD5m5f6HSg,Think Twice
UCA0g3liRXdpqyhxiQiE55tA,http://www.youtube.com/channel/UCA0g3liRXdpqyhxiQiE55tA,MinuteFood
UCAIKWqE5-SjyeL1wQDaOb0g,http://www.youtube.com/channel/UCAIKWqE5-SjyeL1wQDaOb0g,The Pedantic Romantic
UCAMu6Dso0ENoNm3sKpQsy0g,http://www.youtube.com/channel/UCAMu6Dso0ENoNm3sKpQsy0g,Nir Lichtman
UCAOvjtWS7oJqLS1X3-g_mxQ,http://www.youtube.com/channel/UCAOvjtWS7oJqLS1X3-g_mxQ,Plus2Joe
UCATvtkiJWyTcTAkEmjajp0Q,http://www.youtube.com/channel/UCATvtkiJWyTcTAkEmjajp0Q,Car Free Keith
UCAWnFCJGAP7YPti-gQSe1ng,http://www.youtube.com/channel/UCAWnFCJGAP7YPti-gQSe1ng,Chris Remo
UCAbAsEZ-0LccTNbl8r-3EaQ,http://www.youtube.com/channel/UCAbAsEZ-0LccTNbl8r-3EaQ,Scott Yu-Jan
UCAhuwIvlcSpjlrJALruursQ,http://www.youtube.com/channel/UCAhuwIvlcSpjlrJALruursQ,CosmoSpeedruns
UCAnzaHhB0ONtwDkYdc3MFCw,http://www.youtube.com/channel/UCAnzaHhB0ONtwDkYdc3MFCw,Linkus7
UCAx8zJVSVrVvB5dvaTYzXpw,http://www.youtube.com/channel/UCAx8zJVSVrVvB5dvaTYzXpw,Greyt Show
UCB6ZABC2cArGjau4AyBMqVg,http://www.youtube.com/channel/UCB6ZABC2cArGjau4AyBMqVg,The Movie Rabbit Hole
UCB8EwbFEUR8IrDjq8LA8YrA,http://www.youtube.com/channel/UCB8EwbFEUR8IrDjq8LA8YrA,Holy Fucking Science
UCBFKqNS5wi5BQf93KtN0pLg,http://www.youtube.com/channel/UCBFKqNS5wi5BQf93KtN0pLg,AlwaysWheezy
UCBGt4ksgYC-au_J4LVC42bw,http://www.youtube.com/channel/UCBGt4ksgYC-au_J4LVC42bw,LightningOnDemand
UCBJycsmduvYEL83R_U4JriQ,http://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee
UCBa659QWEk1AI4Tg--mrJ2A,http://www.youtube.com/channel/UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott
UCBbnbBWJtwsf0jLGUwX5Q3g,http://www.youtube.com/channel/UCBbnbBWJtwsf0jLGUwX5Q3g,Journey to the Microcosmos
UCBciYThS5hOiuQ4aOxw4hHg,http://www.youtube.com/channel/UCBciYThS5hOiuQ4aOxw4hHg,Inkbox
UCBsuOBu-dxj5bx1KMgmar5g,http://www.youtube.com/channel/UCBsuOBu-dxj5bx1KMgmar5g,TheHappieCat
UCBtvdjob_29m85wjfQS1ALg,http://www.youtube.com/channel/UCBtvdjob_29m85wjfQS1ALg,Citations Needed
UCBxpC6MHa1_IwXth1FHL1Rg,http://www.youtube.com/channel/UCBxpC6MHa1_IwXth1FHL1Rg,Charles Clayton
UCByBOwwOU5tKddYpsrHiUUw,http://www.youtube.com/channel/UCByBOwwOU5tKddYpsrHiUUw,Xidnaf
UCC8zWIx8aBQme-x1nX9iZ0A,http://www.youtube.com/channel/UCC8zWIx8aBQme-x1nX9iZ0A,Dimension 20
UCCAgrIbwcJ67zIow1pNF30A,http://www.youtube.com/channel/UCCAgrIbwcJ67zIow1pNF30A,nottinghamscience
UCCWeRTgd79JL0ilH0ZywSJA,http://www.youtube.com/channel/UCCWeRTgd79JL0ilH0ZywSJA,AlphaPhoenix
UCCZkc96h2dlElrfYmMWr8KQ,http://www.youtube.com/channel/UCCZkc96h2dlElrfYmMWr8KQ,Engineer Bo
UCCpBuow1g13oS8TUhakzKGQ,http://www.youtube.com/channel/UCCpBuow1g13oS8TUhakzKGQ,Kav P
UCCtq5FqF_sklPX3MosHx6yA,http://www.youtube.com/channel/UCCtq5FqF_sklPX3MosHx6yA,mothcub
UCD5B6VoXv41fJ-IW8Wrhz9A,http://www.youtube.com/channel/UCD5B6VoXv41fJ-IW8Wrhz9A,Fermilab
UCD5eL38hFtSLiVFP9cCUJEA,http://www.youtube.com/channel/UCD5eL38hFtSLiVFP9cCUJEA,Daniel Stenberg
UCD8J_xbbBuGobmw_N5ga3MA,http://www.youtube.com/channel/UCD8J_xbbBuGobmw_N5ga3MA,Denis Shiryaev
UCDAXXrX2uUwvy7NXpPJWAAg,http://www.youtube.com/channel/UCDAXXrX2uUwvy7NXpPJWAAg,Mike Rugnetta
UCDBrVr0ttWpoRY-_yZajp2Q,http://www.youtube.com/channel/UCDBrVr0ttWpoRY-_yZajp2Q,alyankovic
UCDCpw4WH3apU0-eC9q3j2hw,http://www.youtube.com/channel/UCDCpw4WH3apU0-eC9q3j2hw,Ranged Touch
UCDJEFQIgRqybGKibycNZXNg,http://www.youtube.com/channel/UCDJEFQIgRqybGKibycNZXNg,Plastikk Press
UCDOx3X0Pb5m4fDTtBg7RzLA,http://www.youtube.com/channel/UCDOx3X0Pb5m4fDTtBg7RzLA,Do You Validate
